rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:03.532702+00:00 [error] <0.766.0>                             [{'rabbit@rabbitmq-1',running},[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.539036+00:00 [info] <0.2598.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.541729+00:00 [info] <0.2598.0> Created user 'atlas-secops-1788100863441087000-user'[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.542488+00:00 [info] <0.2599.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.545455+00:00 [info] <0.2599.0> Successfully set permissions for user 'atlas-secops-1788100863441087000-user' in virtual host 'atlas-secops-1788100863441087000' to '^allowed\..*$', '^allowed\..*$', '^allowed\..*$'[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.548177+00:00 [info] <0.2600.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.552391+00:00 [info] <0.2600.0> Successfully set permissions for user 'atlas' in virtual host 'atlas-secops-1788100863441087000' to '.*', '.*', '.*'[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.554118+00:00 [info] <0.2601.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:03.561682+00:00 [info] <0.2608.0> accepting AMQP connection 192.168.80.1:41416 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:41:03.562994+00:00 [warning] <0.2608.0> User 'atlas-secops-1788100863441087000-user' failed to authenticate: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:03.563373+00:00 [error] <0.2608.0> Error on AMQP connection <0.2608.0> (192.168.80.1:41416 -> 192.168.80.3:5672, state: starting):[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:03.563373+00:00 [error] <0.2608.0> PLAIN login refused: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-1-1  | 2026-08-30 14:41:06.569126+00:00 [info] <0.2608.0> closing AMQP connection (192.168.80.1:41416 -> 192.168.80.3:5672, duration: '3s')[0m
rabbitmq-1-1  | 2026-08-30 14:41:12.579124+00:00 [info] <0.2618.0> accepting AMQP connection 192.168.80.1:64565 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:41:12.586278+00:00 [info] <0.2618.0> User 'atlas-secops-1788100863441087000-user' authenticated successfully[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:12.588641+00:00 [error] <0.2618.0> Error on AMQP connection <0.2618.0> (192.168.80.1:64565 -> 192.168.80.3:5672, user: 'atlas-secops-1788100863441087000-user', state: opening):[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:12.588641+00:00 [error] <0.2618.0> access to vhost '/' refused for user 'atlas-secops-1788100863441087000-user'[0m
rabbitmq-1-1  | 2026-08-30 14:41:12.591710+00:00 [info] <0.2618.0> closing AMQP connection (192.168.80.1:64565 -> 192.168.80.3:5672, vhost: 'none', user: 'atlas-secops-1788100863441087000-user', duration: '13ms')[0m
rabbitmq-1-1  | 2026-08-30 14:41:12.629289+00:00 [info] <0.2627.0> accepting AMQP connection 192.168.80.1:29363 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:41:12.632535+00:00 [info] <0.2627.0> User 'atlas-secops-1788100863441087000-user' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:12.634370+00:00 [info] <0.2627.0> connection 192.168.80.1:29363 -> 192.168.80.3:5672: user 'atlas-secops-1788100863441087000-user' authenticated and granted access to vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:12.672391+00:00 [error] <0.2646.0> Channel error on connection <0.2627.0> (192.168.80.1:29363 -> 192.168.80.3:5672, vhost: 'atlas-secops-1788100863441087000', user: 'atlas-secops-1788100863441087000-user'), channel 2:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:12.672391+00:00 [error] <0.2646.0> operation queue.declare caused a channel exception access_refused: configure access to queue 'forbidden.queue-new' in vhost 'atlas-secops-1788100863441087000' refused for user 'atlas-secops-1788100863441087000-user'[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:12.675070+00:00 [error] <0.2653.0> Channel error on connection <0.2627.0> (192.168.80.1:29363 -> 192.168.80.3:5672, vhost: 'atlas-secops-1788100863441087000', user: 'atlas-secops-1788100863441087000-user'), channel 3:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:12.675070+00:00 [error] <0.2653.0> operation basic.consume caused a channel exception access_refused: read access to queue 'forbidden.queue' in vhost 'atlas-secops-1788100863441087000' refused for user 'atlas-secops-1788100863441087000-user'[0m
rabbitmq-1-1  | 2026-08-30 14:41:12.677238+00:00 [info] <0.2627.0> closing AMQP connection (192.168.80.1:29363 -> 192.168.80.3:5672, vhost: 'atlas-secops-1788100863441087000', user: 'atlas-secops-1788100863441087000-user', duration: '48ms')[0m
rabbitmq-1-1  | 2026-08-30 14:41:12.679875+00:00 [info] <0.2660.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:12.728653+00:00 [info] <0.2660.0> Successfully changed password for user 'atlas-secops-1788100863441087000-user'[0m
rabbitmq-1-1  | 2026-08-30 14:41:12.728872+00:00 [info] <0.2660.0> Successfully set user tags for user 'atlas-secops-1788100863441087000-user' to [][0m
rabbitmq-1-1  | 2026-08-30 14:41:12.735013+00:00 [info] <0.2666.0> accepting AMQP connection 192.168.80.1:33093 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:41:12.739508+00:00 [warning] <0.2666.0> User 'atlas-secops-1788100863441087000-user' failed to authenticate: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:12.739617+00:00 [error] <0.2666.0> Error on AMQP connection <0.2666.0> (192.168.80.1:33093 -> 192.168.80.3:5672, state: starting):[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:41:12.739617+00:00 [error] <0.2666.0> PLAIN login refused: user 'atlas-secops-1788100863441087000-user' - invalid credentials[0m
rabbitmq-1-1  | 2026-08-30 14:41:15.734148+00:00 [info] <0.2666.0> closing AMQP connection (192.168.80.1:33093 -> 192.168.80.3:5672, duration: '3s')[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.742682+00:00 [info] <0.2678.0> accepting AMQP connection 192.168.80.1:47410 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.749234+00:00 [info] <0.2678.0> User 'atlas-secops-1788100863441087000-user' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.752297+00:00 [info] <0.2678.0> connection 192.168.80.1:47410 -> 192.168.80.3:5672: user 'atlas-secops-1788100863441087000-user' authenticated and granted access to vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.753452+00:00 [info] <0.2678.0> closing AMQP connection (192.168.80.1:47410 -> 192.168.80.3:5672, vhost: 'atlas-secops-1788100863441087000', user: 'atlas-secops-1788100863441087000-user', duration: '11ms')[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.756158+00:00 [info] <0.2687.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.769774+00:00 [info] <0.2689.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.777772+00:00 [info] <0.2691.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.804085+00:00 [info] <0.2692.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.814566+00:00 [info] <0.2692.0> Deleted user 'atlas-secops-1788100863441087000-user'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.814789+00:00 [info] <0.2693.0> Closing all connections for user 'atlas-secops-1788100863441087000-user' because the user is being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.815744+00:00 [info] <0.2696.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.847094+00:00 [info] <0.2697.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.847496+00:00 [info] <0.2697.0> Deleting vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.847709+00:00 [info] <0.2697.0> Clearing permissions in vhost 'atlas-secops-1788100863441087000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.857409+00:00 [info] <0.2697.0> Deleting queues in vhost 'atlas-secops-1788100863441087000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.881309+00:00 [info] <0.2697.0> Deleting exchanges in vhost 'atlas-secops-1788100863441087000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.903310+00:00 [info] <0.2697.0> Clearing policies and runtime parameters in vhost 'atlas-secops-1788100863441087000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.905772+00:00 [info] <0.2704.0> Closing all connections in vhost 'atlas-secops-1788100863441087000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.907341+00:00 [info] <0.2697.0> Stopping vhost supervisor <0.2571.0> for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.907436+00:00 [info] <0.2572.0> Virtual host 'atlas-secops-1788100863441087000' is stopping[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.907520+00:00 [info] <0.2706.0> Closing all connections in vhost 'atlas-secops-1788100863441087000' on node 'rabbit@rabbitmq-1' because the vhost is stopping[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.907719+00:00 [info] <0.2583.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_persistent'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.915225+00:00 [info] <0.2583.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_persistent' is stopped[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.915669+00:00 [info] <0.2579.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_transient'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.921456+00:00 [info] <0.2579.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY/msg_store_transient' is stopped[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.922376+00:00 [info] <0.2697.0> Deleting message store directory for vhost 'atlas-secops-1788100863441087000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.929346+00:00 [info] <15327.2473.0> Stopping vhost supervisor <15327.2401.0> for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.939930+00:00 [info] <15327.2473.0> Deleting message store directory for vhost 'atlas-secops-1788100863441087000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.950319+00:00 [info] <15328.2429.0> Stopping vhost supervisor <15328.2357.0> for vhost 'atlas-secops-1788100863441087000'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.963069+00:00 [info] <15328.2429.0> Deleting message store directory for vhost 'atlas-secops-1788100863441087000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/DDK3CYH213AVZMQGK77QZ2TIY'[0m
rabbitmq-1-1  | 2026-08-30 14:41:21.971203+00:00 [info] <0.2716.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:23.982876+00:00 [info] <0.2728.0> Created user 'atlas-scenario-20260830t143739z65535'[0m
rabbitmq-1-1  | 2026-08-30 14:41:25.178142+00:00 [info] <0.2741.0> Successfully set permissions for user 'atlas-scenario-20260830t143739z65535' in virtual host '/' to '.*', '.*', '.*'[0m
rabbitmq-1-1  | 2026-08-30 14:41:25.235288+00:00 [info] <0.2743.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:25.254810+00:00 [info] <0.2748.0> User 'atlas-scenario-20260830t143739z65535' authenticated successfully[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:41:25.255028+00:00 [warning] <0.2748.0> HTTP access denied: user 'atlas-scenario-20260830t143739z65535' - Not management user[0m
rabbitmq-1-1  | 2026-08-30 14:41:25.624860+00:00 [info] <0.2762.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:31.141652+00:00 [info] <0.2825.0> Deleted user 'atlas-scenario-20260830t143739z65535'[0m
rabbitmq-1-1  | 2026-08-30 14:41:31.142149+00:00 [info] <0.2826.0> Closing all connections for user 'atlas-scenario-20260830t143739z65535' because the user is being deleted[0m
rabbitmq-1-1  | 2026-08-30 14:41:38.350550+00:00 [info] <0.2846.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:47.721832+00:00 [info] <0.2925.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:41:58.007414+00:00 [info] <0.3015.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:18.146126+00:00 [info] <0.3170.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:24.819591+00:00 [info] <0.3274.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:30.501313+00:00 [info] <0.3335.0> accepting AMQP connection 192.168.80.1:19133 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:42:30.506028+00:00 [warning] <0.3335.0> closing AMQP connection <0.3335.0> (192.168.80.1:19133 -> 192.168.80.3:5672, duration: '5ms'):[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 14:42:30.506028+00:00 [warning] <0.3335.0> client unexpectedly closed TCP connection[0m
rabbitmq-1-1  | 2026-08-30 14:42:30.865970+00:00 [info] <0.3339.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:34.653173+00:00 [info] <0.3398.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:34.685725+00:00 [info] <0.3403.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:34.903853+00:00 [info] <0.3418.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:38.492358+00:00 [info] <0.3477.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:42:43.502445+00:00 [error] <0.3535.0> ** Connection attempt from node 'rabbit_ctl_60@rabbitmq-1' rejected. Invalid challenge reply. **[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:42:43.502445+00:00 [error] <0.3535.0> [0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:42:43.557206+00:00 [error] <0.3537.0> ** Connection attempt from node 'rabbit_ctl_60@rabbitmq-1' rejected. Invalid challenge reply. **[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 14:42:43.557206+00:00 [error] <0.3537.0> [0m
rabbitmq-1-1  | 2026-08-30 14:42:49.177952+00:00 [info] <0.3544.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:52.912109+00:00 [info] <0.3603.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:52.925363+00:00 [info] <0.3610.0> accepting AMQP connection 192.168.80.1:41035 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:42:52.927847+00:00 [info] <0.3610.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:52.929523+00:00 [info] <0.3610.0> connection 192.168.80.1:41035 -> 192.168.80.3:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:42:52.946513+00:00 [info] <0.3624.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:53.199823+00:00 [info] <0.3625.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:53.455074+00:00 [info] <0.3626.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:53.712132+00:00 [info] <0.3627.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:53.967179+00:00 [info] <0.3628.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:54.220802+00:00 [info] <0.3629.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:54.227749+00:00 [info] <0.3630.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:54.483602+00:00 [info] <0.3632.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:54.737302+00:00 [info] <0.3633.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:54.990361+00:00 [info] <0.3634.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:55.245699+00:00 [info] <0.3635.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:55.501504+00:00 [info] <0.3636.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:55.757178+00:00 [info] <0.3637.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:56.012327+00:00 [info] <0.3638.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:56.266397+00:00 [info] <0.3639.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:56.519074+00:00 [info] <0.3642.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:56.771977+00:00 [info] <0.3643.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:57.027008+00:00 [info] <0.3644.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:57.282729+00:00 [info] <0.3645.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:57.539232+00:00 [info] <0.3646.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:57.794508+00:00 [info] <0.3647.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:58.048356+00:00 [info] <0.3648.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:58.304929+00:00 [info] <0.3649.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:58.562839+00:00 [info] <0.3650.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:58.815812+00:00 [info] <0.3651.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:59.071093+00:00 [info] <0.3652.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:59.327706+00:00 [info] <0.3653.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:59.332312+00:00 [info] <0.3654.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:59.586947+00:00 [info] <0.3655.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:42:59.840918+00:00 [info] <0.3656.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:00.096421+00:00 [info] <0.3657.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:00.350452+00:00 [info] <0.3660.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:00.604240+00:00 [info] <0.3661.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:00.860012+00:00 [info] <0.3662.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:01.114396+00:00 [info] <0.3663.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:01.369982+00:00 [info] <0.3664.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:01.627087+00:00 [info] <0.3665.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:01.888599+00:00 [info] <0.3666.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:02.144222+00:00 [info] <0.3667.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:02.398949+00:00 [info] <0.3668.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:02.660632+00:00 [info] <0.3669.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:02.918973+00:00 [info] <0.3670.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:03.175697+00:00 [info] <0.3671.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:03.433215+00:00 [info] <0.3672.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:03.690067+00:00 [info] <0.3673.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:03.944420+00:00 [info] <0.3674.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:04.199358+00:00 [info] <0.3675.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:04.216898+00:00 [info] <0.3677.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:04.222076+00:00 [info] <0.3610.0> closing AMQP connection (192.168.80.1:41035 -> 192.168.80.3:5672, vhost: '/', user: 'atlas', duration: '11s')[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.224873+00:00 [info] <0.3687.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.243054+00:00 [info] <0.3694.0> accepting AMQP connection 192.168.80.1:64348 -> 192.168.80.3:5672[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.245478+00:00 [info] <0.3694.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.246960+00:00 [info] <0.3694.0> connection 192.168.80.1:64348 -> 192.168.80.3:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.260294+00:00 [info] <0.3708.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.539262+00:00 [info] <0.3710.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.555663+00:00 [info] <0.3718.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.555768+00:00 [info] <0.3718.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.555886+00:00 [info] <0.3718.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 14:43:06.576894+00:00 [notice] <0.3725.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': candidate -> leader in term: 1 machine version: 8, last applied 0[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.577312+00:00 [info] <0.3718.0> ra: started cluster '%2F_atlas.1788100986247897000.performance.quorum' with 3 servers. 0 servers failed to start: []. Leader: {'%2F_atlas.1788100986247897000.performance.quorum','rabbit@rabbitmq-1'}[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.577393+00:00 [info] <0.3718.0> queue 'atlas.1788100986247897000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 14:43:06.581268+00:00 [info] <0.3735.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 14:43:07.097557+00:00 [info] <0.3737.0> User 'atlas' authenticated successfully[0m
