rabbitmq-1-1  | 2026-08-30 13:56:10.834551+00:00 [info] <0.2520.0> Started message store of type persistent for vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-1-1  | 2026-08-30 13:56:10.937011+00:00 [info] <0.2556.0> accepting AMQP connection 192.168.80.1:38569 -> 192.168.80.2:5672[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:56:10.940093+00:00 [warning] <0.2556.0> User 'atlas-secops-1788098170704400000-user' failed to authenticate: user 'atlas-secops-1788098170704400000-user' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 13:56:10.940323+00:00 [error] <0.2556.0> Error on AMQP connection <0.2556.0> (192.168.80.1:38569 -> 192.168.80.2:5672, state: starting):[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 13:56:10.940323+00:00 [error] <0.2556.0> PLAIN login refused: user 'atlas-secops-1788098170704400000-user' - invalid credentials[0m
rabbitmq-1-1  | 2026-08-30 13:56:13.941583+00:00 [info] <0.2556.0> closing AMQP connection (192.168.80.1:38569 -> 192.168.80.2:5672, duration: '3s')[0m
rabbitmq-1-1  | 2026-08-30 13:56:19.950524+00:00 [info] <0.2567.0> accepting AMQP connection 192.168.80.1:27358 -> 192.168.80.2:5672[0m
rabbitmq-1-1  | 2026-08-30 13:56:19.964675+00:00 [info] <0.2567.0> User 'atlas-secops-1788098170704400000-user' authenticated successfully[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 13:56:19.966434+00:00 [error] <0.2567.0> Error on AMQP connection <0.2567.0> (192.168.80.1:27358 -> 192.168.80.2:5672, user: 'atlas-secops-1788098170704400000-user', state: opening):[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 13:56:19.966434+00:00 [error] <0.2567.0> access to vhost '/' refused for user 'atlas-secops-1788098170704400000-user'[0m
rabbitmq-1-1  | 2026-08-30 13:56:19.967640+00:00 [info] <0.2567.0> closing AMQP connection (192.168.80.1:27358 -> 192.168.80.2:5672, vhost: 'none', user: 'atlas-secops-1788098170704400000-user', duration: '17ms')[0m
rabbitmq-1-1  | 2026-08-30 13:56:19.986027+00:00 [info] <0.2576.0> accepting AMQP connection 192.168.80.1:52520 -> 192.168.80.2:5672[0m
rabbitmq-1-1  | 2026-08-30 13:56:19.987983+00:00 [info] <0.2576.0> User 'atlas-secops-1788098170704400000-user' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:19.989069+00:00 [info] <0.2576.0> connection 192.168.80.1:52520 -> 192.168.80.2:5672: user 'atlas-secops-1788098170704400000-user' authenticated and granted access to vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 13:56:20.023089+00:00 [error] <0.2595.0> Channel error on connection <0.2576.0> (192.168.80.1:52520 -> 192.168.80.2:5672, vhost: 'atlas-secops-1788098170704400000', user: 'atlas-secops-1788098170704400000-user'), channel 2:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 13:56:20.023089+00:00 [error] <0.2595.0> operation queue.declare caused a channel exception access_refused: configure access to queue 'forbidden.queue-new' in vhost 'atlas-secops-1788098170704400000' refused for user 'atlas-secops-1788098170704400000-user'[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 13:56:20.025262+00:00 [error] <0.2602.0> Channel error on connection <0.2576.0> (192.168.80.1:52520 -> 192.168.80.2:5672, vhost: 'atlas-secops-1788098170704400000', user: 'atlas-secops-1788098170704400000-user'), channel 3:[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 13:56:20.025262+00:00 [error] <0.2602.0> operation basic.consume caused a channel exception access_refused: read access to queue 'forbidden.queue' in vhost 'atlas-secops-1788098170704400000' refused for user 'atlas-secops-1788098170704400000-user'[0m
rabbitmq-1-1  | 2026-08-30 13:56:20.026540+00:00 [info] <0.2576.0> closing AMQP connection (192.168.80.1:52520 -> 192.168.80.2:5672, vhost: 'atlas-secops-1788098170704400000', user: 'atlas-secops-1788098170704400000-user', duration: '40ms')[0m
rabbitmq-1-1  | 2026-08-30 13:56:20.030144+00:00 [info] <0.2609.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:20.061860+00:00 [info] <0.2609.0> Successfully changed password for user 'atlas-secops-1788098170704400000-user'[0m
rabbitmq-1-1  | 2026-08-30 13:56:20.061985+00:00 [info] <0.2609.0> Successfully set user tags for user 'atlas-secops-1788098170704400000-user' to [][0m
rabbitmq-1-1  | 2026-08-30 13:56:20.064069+00:00 [info] <0.2615.0> accepting AMQP connection 192.168.80.1:59425 -> 192.168.80.2:5672[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:56:20.065682+00:00 [warning] <0.2615.0> User 'atlas-secops-1788098170704400000-user' failed to authenticate: user 'atlas-secops-1788098170704400000-user' - invalid credentials[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 13:56:20.065783+00:00 [error] <0.2615.0> Error on AMQP connection <0.2615.0> (192.168.80.1:59425 -> 192.168.80.2:5672, state: starting):[0m
rabbitmq-1-1  | [38;5;160m2026-08-30 13:56:20.065783+00:00 [error] <0.2615.0> PLAIN login refused: user 'atlas-secops-1788098170704400000-user' - invalid credentials[0m
rabbitmq-1-1  | 2026-08-30 13:56:23.071255+00:00 [info] <0.2615.0> closing AMQP connection (192.168.80.1:59425 -> 192.168.80.2:5672, duration: '3s')[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.101276+00:00 [info] <0.2648.0> accepting AMQP connection 192.168.80.1:45146 -> 192.168.80.2:5672[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.128751+00:00 [info] <0.2648.0> User 'atlas-secops-1788098170704400000-user' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.140096+00:00 [info] <0.2648.0> connection 192.168.80.1:45146 -> 192.168.80.2:5672: user 'atlas-secops-1788098170704400000-user' authenticated and granted access to vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.152044+00:00 [info] <0.2648.0> closing AMQP connection (192.168.80.1:45146 -> 192.168.80.2:5672, vhost: 'atlas-secops-1788098170704400000', user: 'atlas-secops-1788098170704400000-user', duration: '50ms')[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.162187+00:00 [info] <0.2657.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.207701+00:00 [info] <0.2659.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.221484+00:00 [info] <0.2661.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.279008+00:00 [info] <0.2662.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.294132+00:00 [info] <0.2662.0> Deleted user 'atlas-secops-1788098170704400000-user'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.294366+00:00 [info] <0.2663.0> Closing all connections for user 'atlas-secops-1788098170704400000-user' because the user is being deleted[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.296040+00:00 [info] <0.2666.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.345798+00:00 [info] <0.2667.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.345940+00:00 [info] <0.2667.0> Deleting vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.345999+00:00 [info] <0.2667.0> Clearing permissions in vhost 'atlas-secops-1788098170704400000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.356579+00:00 [info] <0.2667.0> Deleting queues in vhost 'atlas-secops-1788098170704400000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.409087+00:00 [info] <0.2667.0> Deleting exchanges in vhost 'atlas-secops-1788098170704400000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.545951+00:00 [info] <0.2667.0> Clearing policies and runtime parameters in vhost 'atlas-secops-1788098170704400000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.581804+00:00 [info] <0.2674.0> Closing all connections in vhost 'atlas-secops-1788098170704400000' because it's being deleted[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.583733+00:00 [info] <0.2667.0> Stopping vhost supervisor <0.2519.0> for vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.585201+00:00 [info] <0.2520.0> Virtual host 'atlas-secops-1788098170704400000' is stopping[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.586294+00:00 [info] <0.2676.0> Closing all connections in vhost 'atlas-secops-1788098170704400000' on node 'rabbit@rabbitmq-1' because the vhost is stopping[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.588425+00:00 [info] <0.2531.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/AIUE58IXR340UCD1KOCPUF3PT/msg_store_persistent'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.635135+00:00 [info] <0.2531.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/AIUE58IXR340UCD1KOCPUF3PT/msg_store_persistent' is stopped[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.635396+00:00 [info] <0.2527.0> Stopping message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/AIUE58IXR340UCD1KOCPUF3PT/msg_store_transient'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.654420+00:00 [info] <0.2527.0> Message store for directory '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/AIUE58IXR340UCD1KOCPUF3PT/msg_store_transient' is stopped[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.658209+00:00 [info] <0.2667.0> Deleting message store directory for vhost 'atlas-secops-1788098170704400000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-1/msg_stores/vhosts/AIUE58IXR340UCD1KOCPUF3PT'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.680005+00:00 [info] <15327.2399.0> Stopping vhost supervisor <15327.2305.0> for vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.729209+00:00 [info] <15327.2399.0> Deleting message store directory for vhost 'atlas-secops-1788098170704400000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-2/msg_stores/vhosts/AIUE58IXR340UCD1KOCPUF3PT'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.782569+00:00 [info] <15328.2435.0> Stopping vhost supervisor <15328.2340.0> for vhost 'atlas-secops-1788098170704400000'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.877004+00:00 [info] <15328.2435.0> Deleting message store directory for vhost 'atlas-secops-1788098170704400000' at '/var/lib/rabbitmq/mnesia/rabbit@rabbitmq-3/msg_stores/vhosts/AIUE58IXR340UCD1KOCPUF3PT'[0m
rabbitmq-1-1  | 2026-08-30 13:56:29.926460+00:00 [info] <0.2686.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:37.832161+00:00 [info] <0.2702.0> Created user 'atlas-scenario-20260830t135414z12655'[0m
rabbitmq-1-1  | 2026-08-30 13:56:38.870911+00:00 [info] <0.2708.0> Successfully set permissions for user 'atlas-scenario-20260830t135414z12655' in virtual host '/' to '.*', '.*', '.*'[0m
rabbitmq-1-1  | 2026-08-30 13:56:39.006747+00:00 [info] <0.2710.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:39.046201+00:00 [info] <0.2715.0> User 'atlas-scenario-20260830t135414z12655' authenticated successfully[0m
rabbitmq-1-1  | [38;5;214m2026-08-30 13:56:39.046867+00:00 [warning] <0.2715.0> HTTP access denied: user 'atlas-scenario-20260830t135414z12655' - Not management user[0m
rabbitmq-1-1  | 2026-08-30 13:56:39.311453+00:00 [info] <0.2727.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:56:43.752589+00:00 [info] <0.2790.0> Deleted user 'atlas-scenario-20260830t135414z12655'[0m
rabbitmq-1-1  | 2026-08-30 13:56:43.753844+00:00 [info] <0.2791.0> Closing all connections for user 'atlas-scenario-20260830t135414z12655' because the user is being deleted[0m
rabbitmq-1-1  | 2026-08-30 13:56:53.158415+00:00 [info] <0.2811.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:09.299477+00:00 [info] <0.2931.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:19.725696+00:00 [info] <0.2990.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:19.778838+00:00 [info] <0.2997.0> accepting AMQP connection 192.168.80.1:24002 -> 192.168.80.2:5672[0m
rabbitmq-1-1  | 2026-08-30 13:57:19.790793+00:00 [info] <0.2997.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:19.797818+00:00 [info] <0.2997.0> connection 192.168.80.1:24002 -> 192.168.80.2:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 13:57:19.830653+00:00 [info] <0.3011.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:20.087716+00:00 [info] <0.3012.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:20.349608+00:00 [info] <0.3013.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:20.610743+00:00 [info] <0.3014.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:20.878961+00:00 [info] <0.3015.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:20.910675+00:00 [info] <0.3016.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:21.171046+00:00 [info] <0.3017.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:21.435158+00:00 [info] <0.3018.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:21.690789+00:00 [info] <0.3019.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:21.946385+00:00 [info] <0.3020.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:22.202414+00:00 [info] <0.3023.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:22.456510+00:00 [info] <0.3024.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:22.712595+00:00 [info] <0.3025.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:22.967568+00:00 [info] <0.3026.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:23.222281+00:00 [info] <0.3027.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:23.477506+00:00 [info] <0.3028.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:23.732497+00:00 [info] <0.3029.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:23.993874+00:00 [info] <0.3030.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:24.250462+00:00 [info] <0.3031.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:24.510708+00:00 [info] <0.3032.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:24.768379+00:00 [info] <0.3033.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:25.024046+00:00 [info] <0.3034.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:25.285797+00:00 [info] <0.3035.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:25.541931+00:00 [info] <0.3036.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:25.798593+00:00 [info] <0.3042.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:26.054773+00:00 [info] <0.3043.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:26.058160+00:00 [info] <0.3044.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:26.311340+00:00 [info] <0.3048.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:26.565765+00:00 [info] <0.3049.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:26.821372+00:00 [info] <0.3050.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:27.075633+00:00 [info] <0.3051.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:27.328629+00:00 [info] <0.3052.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:27.583247+00:00 [info] <0.3053.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:27.840184+00:00 [info] <0.3054.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:28.095318+00:00 [info] <0.3055.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:28.351378+00:00 [info] <0.3056.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:28.609417+00:00 [info] <0.3057.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:28.865361+00:00 [info] <0.3058.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:29.119144+00:00 [info] <0.3059.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:29.372270+00:00 [info] <0.3060.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:29.627025+00:00 [info] <0.3061.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:29.881302+00:00 [info] <0.3064.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:30.135917+00:00 [info] <0.3065.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:30.390172+00:00 [info] <0.3066.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:30.646802+00:00 [info] <0.3067.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:30.900774+00:00 [info] <0.3068.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:30.920250+00:00 [info] <0.3070.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:30.923540+00:00 [info] <0.2997.0> closing AMQP connection (192.168.80.1:24002 -> 192.168.80.2:5672, vhost: '/', user: 'atlas', duration: '11s')[0m
rabbitmq-1-1  | 2026-08-30 13:57:35.694434+00:00 [info] <0.3080.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:35.730500+00:00 [info] <0.3087.0> accepting AMQP connection 192.168.80.1:24177 -> 192.168.80.2:5672[0m
rabbitmq-1-1  | 2026-08-30 13:57:35.733965+00:00 [info] <0.3087.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:35.735777+00:00 [info] <0.3087.0> connection 192.168.80.1:24177 -> 192.168.80.2:5672: user 'atlas' authenticated and granted access to vhost '/'[0m
rabbitmq-1-1  | 2026-08-30 13:57:35.761716+00:00 [info] <0.3101.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:36.505802+00:00 [info] <0.3103.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:36.540292+00:00 [info] <0.3111.0> queue 'atlas.1788098255737477000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 13:57:36.540565+00:00 [info] <0.3111.0> queue 'atlas.1788098255737477000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 13:57:36.540770+00:00 [info] <0.3111.0> queue 'atlas.1788098255737477000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | [38;5;87m2026-08-30 13:57:36.609387+00:00 [notice] <0.3118.0> queue 'atlas.1788098255737477000.performance.quorum' in vhost '/': candidate -> leader in term: 1 machine version: 8, last applied 0[0m
rabbitmq-1-1  | 2026-08-30 13:57:36.611528+00:00 [info] <0.3111.0> ra: started cluster '%2F_atlas.1788098255737477000.performance.quorum' with 3 servers. 0 servers failed to start: []. Leader: {'%2F_atlas.1788098255737477000.performance.quorum','rabbit@rabbitmq-1'}[0m
rabbitmq-1-1  | 2026-08-30 13:57:36.611638+00:00 [info] <0.3111.0> queue 'atlas.1788098255737477000.performance.quorum' in vhost '/': delivery_limit not set, defaulting to 20[0m
rabbitmq-1-1  | 2026-08-30 13:57:36.632891+00:00 [info] <0.3128.0> User 'atlas' authenticated successfully[0m
rabbitmq-1-1  | 2026-08-30 13:57:37.559152+00:00 [info] <0.3130.0> User 'atlas' authenticated successfully[0m
